parent_id,id,comment,user_id,written_at,updated_at,depth,ranks_up,ranks_down,best_score,user_reputation,replies_count
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgcRerhvPkuPYY9xhON490dmoE,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkBP3mghnEcoUEdgAixswAONhZ,"Yes it legally is; see California Penal Code, sections:Section 148: Resisting, delaying, or obstructing a police officer or EMTSection 136.1: Intimidating a witness or victimSection 182: Conspiracy to obstruct justiceSection 114: False information in a police report",u_dRPfGRpoVst1,2025-03-01 21:29:24,2025-03-01 21:29:45,2,0,0,434,88570,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkBP3mghnEcoUEdgAixswAONhZ,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkOcrt7lICUcGVH3SrwkX1x3ph,"None of what you are describing applies to these actions. Nope, sorry. You don’t know what you are talking about. Simply warning people that ice is in the area is none of what you just described, no matter how much you want it to be. ",u_VglUVzFaFu2i,2025-03-01 23:18:07,2025-03-01 23:19:08,3,0,0,415,15240,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkOcrt7lICUcGVH3SrwkX1x3ph,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkTKrRmpQ3ZEUCKNcoGCq0Djih,"Nope, sorry, yourself.There are probably a whole host of other valid charges that could be levied, related to material support of human trafficking, etc. Why do you support human trafficking and sheltering of criminals?",u_dRPfGRpoVst1,2025-03-01 23:56:51,2025-03-01 23:58:12,4,0,0,399,88580,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgcRerhvPkuPYY9xhON490dmoE,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgoQao6s7Ujg5FRc18WgT2096g,Let’s go Brandon.,u_XkbcpCN4QL39,2025-02-28 16:51:02,2025-03-01 19:45:34,2,6,4,396,328950,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgcRerhvPkuPYY9xhON490dmoE,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tifMsIPjRvlyjNuTMToyGFyypm,They're dreaming.AOC would be prosecuted instead Tom just runs around frustrated. Kinda like these jckoffs.,u_4ORgYGQhvD2F,2025-03-01 08:36:10,2025-03-01 19:45:43,2,0,2,290,415310,2
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tifMsIPjRvlyjNuTMToyGFyypm,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tj0hzEPyFTvA8JmEsp5h9W1lc5,No one would prosecute her. It would make her relevant and plausibly look like a serious person. She is specifically for the clown demographic of New York.,u_sqYUHifjqQIg,2025-03-01 11:31:39,2025-03-01 19:45:55,3,1,1,352,82300,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tj0hzEPyFTvA8JmEsp5h9W1lc5,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkBdypZnQHxnf2pkLEGj0A1J58,"She sent a panicky letter to DOJ yesterday, asking if they were going to try to prosecute her. Pretty funny.",u_dRPfGRpoVst1,2025-03-01 21:31:22,2025-03-01 21:32:03,4,0,0,387,88570,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tifMsIPjRvlyjNuTMToyGFyypm,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkBXyxyeHP1pknOnsJ71w06fXS,"It is a little more complex because she isn't just a foolish bartender leftist, she is currently a foolish congresswoman leftist.",u_dRPfGRpoVst1,2025-03-01 21:30:35,2025-03-01 21:31:05,3,0,0,229,88570,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tj2bW99HYhy6BFMc71oYEW6SK4,"I would love, love, love to volunteer with a bull horn.  Q:  Do you know how I can get in touch with the organizers?  ",u_4uEzQZWOf5nn,2025-03-01 11:47:14,2025-03-01 23:18:31,1,3,2,494,79600,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tiWu3nCcZxrZxBfTOPHz41OJ55,If treason trump showed us anything obstruction charges or felony charges really don’t mean much.,u_OTnWOhvrhogI,2025-03-01 07:26:34,2025-03-02 06:21:19,1,6,5,477,179010,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tif9Ur1AaGSJ3QsNopBOQY2FBw,It's not.,u_4ORgYGQhvD2F,2025-03-01 08:34:23,2025-03-01 20:10:19,1,2,0,469,415310,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tiq5IdaZtexJKunSQ41tWGmDaW,They are doing the lords work while ICE works for the devil,u_nxzHsXdLe7S2,2025-03-01 10:04:17,2025-03-02 06:24:19,1,4,1,446,2780,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkBHcawQlYSD5p8JeBzDQGfTgB,"They are preventing an arrest, intimidating witnesses, delaying and obstructing ICE officers, and potentially lying to the police. CA Penal Code:Section 148: Resisting, delaying, or obstructing a police officer or EMTSection 136.1: Intimidating a witness or victimSection 182: Conspiracy to obstruct justiceSection 114: False information in a police report",u_dRPfGRpoVst1,2025-03-01 21:28:25,2025-03-01 21:28:25,1,0,0,443,88570,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkBHcawQlYSD5p8JeBzDQGfTgB,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tlERG6g2Up7JSjJEBIXvCLiQc4,·        <strong>Conspiracy to defraud the United States</strong>·        <strong>Conspiracy to obstruct</strong>·        <strong>Conspiracy against rights</strong>·        <strong>Obstruction of and attempt to obstruct an official proceeding</strong>·        <strong>Criminal Racketeering</strong>·        <strong>Falsifying Business Records</strong>·        <strong>Fraud</strong>·        <strong>Withholding government documents</strong>·        <strong>Corruptly concealing records</strong>·        <strong>Concealing a document in a federal investigation</strong>·        <strong>Scheming to conceal the efforts</strong>·        <strong>Violation of the Georgia RICO Act</strong>·        <strong>Solicitation of violation of oath by public officer</strong>·        <strong>Conspiracy to commit impersonating a public officer</strong>·        <strong>Solicitation of violation of oath by public officer</strong>·        <strong>Conspiracy to commit forgery in the first degree</strong>·        <strong>Conspiracy to commit false statements and writings</strong>·        <strong>Conspiracy to commit filing false documents</strong>·        <strong>False statements and writings</strong>·        <strong>Filing false documents</strong>·        <strong>Willful retention of national defense information</strong>·        <strong>Conspiracy to obstruct justice</strong>·        <strong>Withholding of a document or record</strong>·        <strong>Corruptly concealing a document or record</strong>·        <strong>Concealing a document in a federal investigation</strong>·        <strong>Scheme to conceal</strong>·        <strong>False statements and representations</strong>,u_mRB2PVIHHqMl,2025-03-02 06:24:10,2025-03-02 15:27:58,2,0,1,324,402980,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tlERG6g2Up7JSjJEBIXvCLiQc4,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tmIYTJTSRxvbYhSPj7dSFJczQj,"Divert Deny Deflect.Straight out of the Playbook, comrade.",u_dRPfGRpoVst1,2025-03-02 15:27:50,2025-03-02 15:28:31,3,0,0,320,88800,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tjPBNLuvT7UAcuHMKOBuT2RwyG,"Look at trump and his gang and read the entire Mueller report if you want to see obstruction of justice.  Also, there is trump Russia collusion throughout.  If you don't read it, you're believing the lies.  This is not obstruction of justice.  It's free speech.  Good for them.  I'm sure the immigrants are nicer than you.  ",u_NGBa9RNqSILT,2025-03-01 14:52:53,2025-03-01 20:33:12,1,2,2,441,41760,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tjPBNLuvT7UAcuHMKOBuT2RwyG,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkVxmYmOajFzrHkuNuFN06mtO9,"From your comment I agree, I do not understand why Hillary, Adam, Mueller and the rest are all not in prison. So glad to see you recognize that as well. ",u_PfsBY8PHhYLv,2025-03-02 00:18:27,2025-03-02 00:18:58,2,0,0,400,136500,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tiqJGyIzwbCuHnh9cYwxVudkRI,"No ;) first amendment my friend. Your harassers can do that to block planned parenthood’s, personally accounting young girls.We are just warning friends and neighbors of the incoming not zees",u_nxzHsXdLe7S2,2025-03-01 10:06:08,2025-03-01 16:19:18,1,1,1,406,2780,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2thPzoTxgbkVmz3pjK2FoPOVuyF,But you're okay with secret police...,u_dWwOFQ9Bhd5l,2025-02-28 21:59:57,2025-03-01 14:22:04,1,1,0,397,203360,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tkEGvuAqTDcZaFk2yRbh3VALZb,And disturbing the peace. Noise violations and anything eles they can push ,u_PHPoNeYY0A8p,2025-03-01 21:52:59,2025-03-01 21:54:20,1,0,0,393,491480,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgy1l32Xx9n8PD0DcCIjbsQNpu,"Sure, let's detain and charge another 50 million people...",u_xRc6VZMzGH60,2025-02-28 18:09:58,2025-03-02 01:54:44,1,3,6,368,101090,2
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgy1l32Xx9n8PD0DcCIjbsQNpu,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tiQm7ViP7cTO82BCX05wFdrRYp,Nope. Just the ones interfering with ICE. ,u_srhjiCJWfTdg,2025-03-01 06:36:10,2025-03-01 14:20:00,2,3,3,437,9970,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tiQm7ViP7cTO82BCX05wFdrRYp,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tifSCSnXNyaVnnbqqBs6xI4DWj,Nope!Not illegal cry harder ,u_4ORgYGQhvD2F,2025-03-01 08:36:52,2025-03-01 14:20:10,3,1,0,379,415310,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tifSCSnXNyaVnnbqqBs6xI4DWj,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tj0xqZ2IHRlVV8IyMKvA5VBOZR,Because you don’t know that it’s illegal doesn’t make it legal. It just means you have no idea what you’re talking about.,u_sqYUHifjqQIg,2025-03-01 11:33:45,2025-03-01 14:20:48,4,0,1,362,82300,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgy1l32Xx9n8PD0DcCIjbsQNpu,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tijXQsaeZcMD1JJhH8KIxDDkYT,However many are obstructing.,u_bKiGQ2HpMWF2,2025-03-01 09:10:27,2025-03-02 01:54:48,2,0,2,342,96650,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tijXQsaeZcMD1JJhH8KIxDDkYT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tki1ESQRuKjyqkcTXsHpC8vtxj,"Why don't you make your opinions more public? Like a maga sign on your front yard, let's see what reactions you get.",u_xRc6VZMzGH60,2025-03-02 01:57:35,2025-03-02 01:58:56,3,0,0,336,101120,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tlEHTRhZ5Q5vZ8aNKDgqBtcjPf,"Yep, here's similar Obstruction of Justice.·        <strong>Conspiracy to defraud the United States</strong>·        <strong>Conspiracy to obstruct</strong>·        <strong>Conspiracy against rights</strong>·        <strong>Obstruction of and attempt to obstruct an official proceeding</strong>·        <strong>Criminal Racketeering</strong>·        <strong>Falsifying Business Records</strong>·        <strong>Fraud</strong>·        <strong>Withholding government documents</strong>·        <strong>Corruptly concealing records</strong>·        <strong>Concealing a document in a federal investigation</strong>·        <strong>Scheming to conceal the efforts</strong>·        <strong>Violation of the Georgia RICO Act</strong>·        <strong>Solicitation of violation of oath by public officer</strong>·        <strong>Conspiracy to commit impersonating a public officer</strong>·        <strong>Solicitation of violation of oath by public officer</strong>·        <strong>Conspiracy to commit forgery in the first degree</strong>·        <strong>Conspiracy to commit false statements and writings</strong>·        <strong>Conspiracy to commit filing false documents</strong>·        <strong>False statements and writings</strong>·        <strong>Filing false documents</strong>·        <strong>Willful retention of national defense information</strong>·        <strong>Conspiracy to obstruct justice</strong>·        <strong>Withholding of a document or record</strong>·        <strong>Corruptly concealing a document or record</strong>·        <strong>Concealing a document in a federal investigation</strong>·        <strong>Scheme to conceal</strong>·        <strong>False statements and representations</strong>",u_mRB2PVIHHqMl,2025-03-02 06:22:52,2025-03-02 06:22:53,1,0,0,331,402980,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tjFMtbVd5uKknTNpDTKPrmhLk0,Aiding and abetting...,u_qSRXjBaFe2lT,2025-03-01 13:32:11,2025-03-01 20:10:50,1,0,2,319,45530,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tjcWTCeRkHdjPO9tG5oI4RTkVy,"Arrest Obstructionists, then check their papers... especially that ""Union del Burritos"" bunch.",u_4fVwZPZWbuSU,2025-03-01 16:42:35,2025-03-01 20:12:46,1,0,2,309,274030,0
,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB,A few citations for disturbing the peace and interfering with law enforcement should discourage this behavior.,u_kBgLquWRAAgK,2025-02-28 11:50:15,2025-03-09 12:10:21,0,90,17,845,573830,6
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2tj7l9pTo7s03SMRMEluO6tSgSY,Those crimes are not within ICE jurisdiction.,u_iCJZniPVBvAp,2025-03-01 12:29:37,2025-03-09 12:10:28,1,3,0,619,44700,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2tiRr3Xjd4VfeUAcBfiQPQkcBUl,A high-pressure water hose would take care of this behavior.,u_7uRvuV9EaD6U,2025-03-01 06:45:03,2025-03-09 12:10:32,1,6,3,507,40630,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2tiRr3Xjd4VfeUAcBfiQPQkcBUl,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2tisCXuyoTQy0C165YkyghOId4b,I thought southern California had no high water pressure!,u_iBAyWzREfyp3,2025-03-01 10:21:42,2025-04-03 06:15:59,2,4,0,590,396780,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2th81iO9uISLnk13U0fVv4UYXeb,Ever hear of the First Amendment?,u_n3Rrvrlj6r2C,2025-02-28 19:32:12,2025-03-02 05:06:27,1,3,13,403,79900,3
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2th81iO9uISLnk13U0fVv4UYXeb,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2tiQvzIoZf6IaghfiodEUxK4VVH,Ever hear of immigration law and aiding and abetting criminals? Free speech has its limits as determined by the Supreme Court on numerous occasions.,u_srhjiCJWfTdg,2025-03-01 06:37:29,2025-04-03 06:17:12,2,9,2,654,9970,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2tiQvzIoZf6IaghfiodEUxK4VVH,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tgDqfkXySDZzvth5h3eq3Q9jXB_r_2tiqS1XkG4jffTadBXmjBVLfh6K,The supreme courts words mean literally nothing anymore. None of us care about it since trump bought the court ,u_nxzHsXdLe7S2,2025-03-01 10:07:18,2025-04-03 06:17:25,3,4,3,494,2780,1
